"keyword_id","preferred_label_en","preferred_label_jp","category","scope_note","use_for","related_terms"
"CW","Cold War","冷戦","period/framework","Use for records whose importance lies in Cold War alignments, bloc politics, or superpower competition.","冷戦; East-West conflict; superpower rivalry","Third World; Diplomatic Recognition; United Nations"
"DIP","Diplomacy","外交","general","General diplomatic relations, communications, visits, negotiations, or policy analysis.","外交; diplomatic relations; foreign policy","Bilateral Relations; Diplomatic Recognition; Official Visits"
"BILAT","Bilateral Relations","二国間関係","relationship type","Use for records centered on relations between two states/governments.","relations; bilateral diplomacy; 二国間外交","Diplomacy"
"REC","Diplomatic Recognition","国家承認／外交承認","diplomatic status","Use for recognition of states/governments or establishment/withdrawal of formal recognition.","recognition; 承認; 国家承認; government recognition","Diplomatic Normalization; China Representation"
"NORM","Diplomatic Normalization","国交正常化","diplomatic status","Use for normalization or establishment/restoration of diplomatic relations.","normalization; establishment of diplomatic relations; 国交正常化; 外交関係樹立","Diplomatic Recognition; Japan-PRC Relations"
"REP_CHINA","China Representation","中国代表権問題","international organization","Use for the question of who represented China in the UN or other international organizations. Pair with entity_ids PRC, ROC, TWN, or CHN_AMBIG as needed.","China seat; Chinese representation; 中国代表権; lawful rights of the PRC","United Nations; Voting / Attitudes of Countries; Diplomatic Recognition; PRC; ROC; Taiwan"
"UN","United Nations","国連","international organization","Use for UN-related records, including General Assembly, Security Council, representation, conferences, and consultations.","UN; United Nations; 国際連合; 国連","UN General Assembly; China Representation; UNCTAD"
"UNGA","UN General Assembly","国連総会","international organization","Use for records specifically concerning the UN General Assembly.","General Assembly; UNGA; 国連総会","United Nations; Voting"
"UNSC","UN Security Council","国連安全保障理事会","international organization","Use for Security Council records or institutional implementation involving the Security Council.","Security Council; UNSC; 安保理","United Nations; China Representation"
"UNCTAD","UNCTAD","国連貿易開発会議","international organization","Use for UNCTAD-related records and conferences.","United Nations Conference on Trade and Development; 国連貿易開発会議","Trade; Development"
"ICJ","International Court of Justice","国際司法裁判所","international organization","Use for ICJ-related records, including judicial elections.","ICJ; International Court of Justice; 国際司法裁判所","United Nations"
"VOTE","Voting / Attitudes of Countries","投票／各国の態度","evidence type","Use for records on voting behavior, attitudes, reactions, or positions of countries in international forums.","voting record; attitudes of countries; 各国の態度; 諸外国の反応; reaction of foreign countries","United Nations; Press Commentary; Foreign Reactions"
"REACT","Foreign Reactions","諸外国の反応","evidence type","Use for records collecting foreign reactions to events, visits, normalization, crises, or diplomatic moves.","reactions; responses; 諸外国の反応; 各国の反応","Voting; Press Commentary"
"PRESS","Press Commentary","新聞論調／報道","evidence type","Use for records based on press coverage, newspaper commentary, broadcasts, or media reactions.","press; newspaper commentary; broadcast; 報道; 新聞論調; 放送","Foreign Reactions"
"VISIT","Official Visits","要人訪問","diplomatic practice","Use for visits by heads of government, ministers, or senior officials.","visits; VIP visits; 要人訪問; 首相訪問; 大統領訪問","Diplomacy"
"CONSULT","Diplomatic Consultations","外交協議","diplomatic practice","Use for regular consultations, informal consultations, or policy coordination between governments.","consultation; regular consultation; 非公式協議; 定期協議","Diplomacy; Embassy Chiefs Conference"
"EMBASSY_CHIEFS","Embassy Chiefs Conference","在外公館長会議","diplomatic practice","Use for records concerning conferences of heads of Japanese overseas missions.","在外公館長会議; heads of missions conference","Diplomatic Consultations; Regional Diplomacy"
"AFRO_ASIAN_CONF","Asian-African Conference","アジア・アフリカ会議","conference/movement","Use for Bandung/Asian-African Conference-related records, including Japanese attitudes and foreign participation.","Afro-Asian Conference; Asian-African Conference; Bandung; アジア・アフリカ会議; バンドン会議","Third World; Non-Aligned Movement; Decolonization"
"AAPSO","Afro-Asian People's Solidarity","アジア・アフリカ人民連帯","conference/movement","Use for Afro-Asian People’s Solidarity Organization/conference records.","AAPSO; Afro-Asian People's Solidarity; アジア・アフリカ人民連帯会議","Asian-African Conference; Third World"
"NAM","Non-Aligned Movement","非同盟運動","conference/movement","Use where non-alignment is central or where Afro-Asian/Third World diplomacy overlaps with non-aligned politics.","non-aligned; nonalignment; 非同盟","Third World; Asian-African Conference"
"THIRD_WORLD","Third World Diplomacy","第三世界外交","analytical theme","Use for PRC diplomacy toward Asia, Africa, Middle East, and decolonizing countries during the Cold War.","Third World diplomacy; Global South; Afro-Asian diplomacy; 第三世界外交","Foreign Aid; Decolonization; Asian-African Conference"
"DECOL","Decolonization","脱植民地化","analytical theme","Use for independence, recognition of newly independent states, and postcolonial international politics.","decolonization; independence; 独立; 脱植民地化","Angola Independence; Congo Crisis; Third World Diplomacy"
"JPN_PRC","Japan-PRC Relations","日中関係／日中国交正常化","bilateral theme","Use for Japan-PRC relations, especially normalization, reactions to normalization, and Japanese policy toward the PRC. Pair with ROC/TWN when Taiwan-related consequences are central.","Japan-China relations; Japan-PRC relations; 日中関係; 日中国交正常化","Diplomatic Normalization; Diplomatic Recognition"
"SINO_SOVIET","Sino-Soviet Relations","中ソ関係","bilateral theme","Use for PRC-Soviet/Sino-Soviet relations and conflicts.","Sino-Soviet; China-Soviet; 中ソ; 中国・ソ連関係","Cold War"
"SINO_FRENCH","France-PRC Relations","中仏関係／中共・フランス関係","bilateral theme","Use for France-PRC relations, especially establishment of diplomatic relations in 1964 and its effects on Taiwan/ROC diplomacy.","Sino-French relations; PRC-France relations; 中共・フランス関係; フランス・中共外交関係樹立","Diplomatic Recognition; Diplomatic Normalization"
"SINO_INDIAN_BORDER","Sino-Indian Border Conflict","中印国境紛争","conflict","Use for PRC-India border conflict records.","Sino-Indian border war; Sino-Indian border conflict; 中共・インド国境紛争","Military; Cold War"
"CONGO_CRISIS","Congo Crisis","コンゴ動乱","conflict/crisis","Use for the Congo Crisis and foreign reactions/intervention related to Congo in the early 1960s.","Congo Crisis; コンゴー動乱; コンゴ動乱","Decolonization; Foreign Reactions"
"ANGOLA_INDEP","Angola Independence","アンゴラ独立","decolonization/conflict","Use for Angola independence, recognition status, or foreign involvement around independence/civil war.","Angola independence; recognition of Angola; アンゴラ独立; アンゴラ内戦","Decolonization; Foreign Intervention"
"FOREIGN_INTERVENTION","Foreign Intervention","諸外国の干渉","conflict/crisis","Use for records explicitly about foreign intervention in civil wars or regional conflicts.","foreign interference; foreign intervention; 諸外国の干渉","Military; Angola Independence"
"CAMBODIA_Q","Cambodia Question","カンボディア問題","conflict/crisis","Use for Cambodia-related diplomatic issues, including the Government of the National Union of Cambodia and UN conferences.","Cambodia issue; Cambodia question; カンボディア問題","United Nations; Diplomatic Recognition"
"AFGHAN_ISSUE","Afghanistan Issue","アフガニスタン問題","conflict/crisis","Use for Afghanistan-related diplomatic/security records.","Afghanistan problem; Afghan issue; アフガニスタン問題","Cold War; Military"
"IRAN_IRAQ","Iran-Iraq Issue","イラン・イラク問題","conflict/crisis","Use for Iran-Iraq diplomatic/security records, including conflict and regional issues.","Iran-Iraq; Iran-Iraq War; イラン・イラク問題","Middle East Situation; Military"
